0.025000 18549.751644 38.840845 11841.671209 27.848759 35.711755 3.562304 153.696644 16.764229 
0.075000 48830.670276 109.724959 55421.103452 127.463291 145.768589 5.824393 878.740535 41.805243 
0.125000 32809.024553 323.384746 114010.396390 274.063416 263.894573 9.799595 1862.573418 68.896041 
0.175000 27978.218646 168.634912 174301.078875 441.865413 372.967240 13.241190 2753.998664 84.745544 
0.225000 27054.368171 202.139521 253658.514235 644.054987 464.372189 16.104068 3455.686332 102.546385 
0.275000 26954.934487 229.350658 348335.177214 871.354594 544.522894 15.351628 3989.873605 106.952100 
0.325000 28607.284273 266.017966 459573.593829 1136.080939 591.464765 16.192896 4461.485455 115.941020 
0.375000 29969.005875 292.506349 580504.110321 1421.052628 632.081798 16.904653 4781.254864 131.030898 
0.425000 31191.485732 318.845910 700486.512795 1689.109589 643.139378 17.007435 4885.908806 123.610182 
0.475000 31291.570303 338.572609 833705.060224 1947.219699 648.634305 27.207089 4952.444867 127.560655 
0.525000 32519.338739 368.535988 1008831.632263 2245.553401 650.113495 15.044871 4920.835067 125.844560 
0.575000 32947.631604 380.203284 1191811.438743 2658.988352 632.463253 13.873405 4743.974318 120.531575 
0.625000 34036.597872 411.161034 1232314.835918 2889.649339 626.041533 14.738687 4612.809837 121.044207 
0.675000 32029.747952 404.599411 1055640.114109 2665.057845 606.838829 17.455215 4295.960625 113.667483 
0.725000 29526.575150 389.866947 796348.759164 2333.275642 592.210815 19.017196 4033.545382 112.024534 
0.775000 27769.543395 392.215825 589854.870507 2115.050351 576.684408 12.845449 3810.733078 107.460959 
0.825000 25615.377749 379.417037 441644.968554 2011.408336 549.608867 15.686909 3458.975391 99.477785 
0.875000 23441.213775 363.547539 309164.958788 1795.215770 546.016448 12.282888 3222.183170 101.394486 
0.925000 22684.669224 367.023317 207453.335616 1474.648500 527.882825 13.926195 2878.468975 88.809920 
0.975000 21975.573261 369.261476 133803.511224 1123.513074 510.997708 16.029128 2581.769588 81.241203 
1.025000 20087.459012 358.274949 90336.286238 857.937031 497.500034 19.695630 2340.850456 77.564908 
1.075000 18400.416110 338.410496 67314.981351 715.576968 488.483528 10.183319 2069.897041 69.536367 
1.125000 17857.335784 343.445194 53476.837002 613.745383 477.087352 12.152815 1838.669567 68.884290 
1.175000 16720.661961 338.654231 44085.782491 554.900462 460.262239 13.679085 1618.728359 54.787905 
1.225000 15225.219363 320.120718 37860.220177 515.628760 451.895154 12.584623 1490.292303 53.027014 
1.275000 14450.456255 314.791794 31616.524634 454.865408 434.734756 11.216687 1305.485504 45.569607 
1.325000 13512.405373 311.081024 28264.496744 433.510169 424.599395 10.063391 1210.707377 43.907779 
1.375000 12948.697327 306.328880 24793.050371 399.829804 422.592834 11.723408 1075.210783 36.255948 
1.425000 11853.581855 294.693705 21925.316614 372.677336 409.479710 14.950375 1007.732925 35.042591 
1.475000 10937.187512 277.274227 20413.256755 365.118961 400.768216 9.724355 936.172995 31.722700 
1.525000 10776.410412 276.869498 17841.157618 330.760727 392.122997 9.939610 876.360686 29.077614 
1.575000 9889.259646 272.125293 15695.344396 305.264682 382.681804 11.586822 813.534793 26.728929 
1.625000 8888.323487 248.739572 14158.009559 284.013146 378.921867 10.654354 763.400063 24.302500 
1.675000 9101.510176 263.009705 12666.703615 263.848153 366.512497 9.764234 723.368627 25.229620 
1.725000 8690.366064 256.926070 12710.365985 276.109546 356.877437 8.077169 682.032266 24.770267 
1.775000 7929.270103 238.156124 11975.213524 268.089509 359.140003 9.456052 649.819666 15.967985 
1.825000 7409.397592 227.432425 10697.573932 244.162458 349.343602 8.337257 638.263207 14.883681 
1.875000 7418.102653 238.217183 9787.808693 230.727397 352.712377 10.368403 614.614663 14.528564 
1.925000 7218.453477 236.635589 9701.536179 229.877076 324.288782 12.478826 585.713053 12.068941 
1.975000 6960.778202 233.301817 9304.305587 227.054410 325.075545 6.128983 570.081327 15.741819 
2.025000 6954.700683 234.021029 8221.563593 201.365480 318.173676 11.525360 529.255824 11.583869 
2.075000 6130.496699 211.275609 7640.277964 190.802973 316.742668 12.232141 535.411330 14.252288 
2.125000 6205.889765 215.000713 7141.734105 182.133225 301.456886 8.856264 503.182533 10.216145 
2.175000 5754.430603 206.897139 7312.726192 187.996822 300.017102 6.079385 489.840381 11.134452 
2.225000 5713.395736 204.628352 6422.643282 166.053053 290.125418 8.632645 475.801463 12.369169 
2.275000 5373.201959 197.537128 6298.717791 166.179481 283.043646 6.568934 474.436743 12.410126 
2.325000 5124.419900 184.975643 6038.667516 160.044905 288.038759 5.906896 459.985309 10.411140 
2.375000 4770.169179 183.455598 5944.629530 159.310625 269.641639 6.496926 429.578463 9.152352 
2.425000 4672.049183 183.822105 5515.397460 147.798277 260.202379 5.172361 422.679279 8.071446 
2.475000 4354.090620 169.701793 5338.483219 143.977233 260.577853 5.142479 420.304103 6.333476 
2.525000 4259.563351 170.752458 5359.339527 144.009916 246.602987 6.977293 387.278875 9.067083 
2.575000 4334.518587 176.343436 5235.238632 141.499972 256.353196 5.131149 387.430461 9.413401 
2.625000 3895.590397 158.114061 4955.612887 133.972573 234.815898 5.053032 379.610492 11.968699 
2.675000 3916.788098 157.902027 5002.822896 134.129238 239.453156 4.695640 354.200120 5.263162 
2.725000 3778.823005 156.369366 4683.774877 125.047856 229.166485 5.585290 350.797566 9.343870 
2.775000 3497.748169 148.038091 4654.400349 123.204026 223.256882 4.534925 333.899840 6.109131 
2.825000 3421.103373 146.146857 4590.817834 121.452508 218.443797 4.489099 330.900662 6.702643 
