epoch,loss,mse,val_loss,val_mse
0,5586.32958984375,5586.32958984375,1087.4708251953125,1087.4708251953125
1,5375.13037109375,5375.13037109375,1153.0360107421875,1153.0360107421875
2,5345.98095703125,5345.98095703125,1126.8553466796875,1126.8553466796875
3,5346.0263671875,5346.0263671875,1006.3169555664062,1006.3169555664062
4,5258.17529296875,5258.17529296875,861.8595581054688,861.8595581054688
5,5262.19580078125,5262.19580078125,1221.3062744140625,1221.3062744140625
6,5214.93896484375,5214.93896484375,1218.345458984375,1218.345458984375
7,5207.9541015625,5207.9541015625,842.6528930664062,842.6528930664062
8,5235.2744140625,5235.2744140625,840.0889892578125,840.0889892578125
9,5180.39404296875,5180.39404296875,1018.2555541992188,1018.2555541992188
10,5164.58154296875,5164.58154296875,1027.8902587890625,1027.8902587890625
11,5194.19873046875,5194.19873046875,863.0535278320312,863.0535278320312
12,5146.00341796875,5146.00341796875,887.9776000976562,887.9776000976562
13,5162.4453125,5162.4453125,981.0211791992188,981.0211791992188
14,5164.35009765625,5164.35009765625,904.351318359375,904.351318359375
15,5147.8662109375,5147.8662109375,957.3938598632812,957.3938598632812
16,5113.7275390625,5113.7275390625,848.5285034179688,848.5285034179688
17,5131.2021484375,5131.2021484375,950.8324584960938,950.8324584960938
18,5117.46826171875,5117.46826171875,861.4031982421875,861.4031982421875
19,5127.6689453125,5127.6689453125,993.5034790039062,993.5034790039062
