epoch,loss,mse,val_loss,val_mse
0,206.73764038085938,206.73764038085938,19.64417266845703,19.64417266845703
1,203.97048950195312,203.97048950195312,22.07467269897461,22.07467269897461
2,204.376220703125,204.376220703125,20.156129837036133,20.156129837036133
3,203.63751220703125,203.63751220703125,19.88470458984375,19.88470458984375
4,204.49098205566406,204.49098205566406,21.95740509033203,21.95740509033203
5,204.46763610839844,204.46763610839844,16.536239624023438,16.536239624023438
6,203.6150360107422,203.6150360107422,18.41283416748047,18.41283416748047
7,203.49136352539062,203.49136352539062,18.638965606689453,18.638965606689453
8,204.4691925048828,204.4691925048828,23.73187828063965,23.73187828063965
9,203.71531677246094,203.71531677246094,23.345735549926758,23.345735549926758
10,203.9102020263672,203.9102020263672,20.403736114501953,20.403736114501953
11,203.86814880371094,203.86814880371094,22.515331268310547,22.515331268310547
12,203.8950653076172,203.8950653076172,18.07981300354004,18.07981300354004
13,203.7824249267578,203.7824249267578,19.906814575195312,19.906814575195312
14,202.77978515625,202.77978515625,22.455842971801758,22.455842971801758
15,203.29408264160156,203.29408264160156,21.583988189697266,21.583988189697266
16,204.62403869628906,204.62403869628906,19.862693786621094,19.862693786621094
17,204.0318603515625,204.0318603515625,22.124975204467773,22.124975204467773
18,204.15060424804688,204.15060424804688,21.413022994995117,21.413022994995117
19,203.96560668945312,203.96560668945312,21.361589431762695,21.361589431762695
