{11,161,0.030303,0,0.078947,0.09375,0.210526,0.043478,0,0.111111,0.153846,0,0.0625,0.083333,0.142857,0,0.111111,0,0,0,0.076923,0,0,0,0,0,0.090909,0,0.125,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
{13,128,0.052632,0.03125,0.026316,0.086957,0.041667,0.111111,0,0.083333,0.125,0.083333,0,0.111111,0,0,0,0,0,0,0,0.285714,0.2,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
{15,163,0.078947,0.086957,0,0,0.076923,0.166667,0,0.083333,0.142857,0.111111,0,0,0,0,0,0,0,0,0,0,0.090909,0,0.125,0,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
{12,133,0.038462,0.052632,0.03125,0.026316,0.043478,0.041667,0,0.076923,0.083333,0.0625,0,0,0,0.222222,0,0,0,0.076923,0.1,0,0,0,0,0.090909,0,0.125,0.25,0,0,0,0,0,0,0,0.2,0.333333,0,0,0,0,0,0,0,0,0,0,0.25,0,0.142857,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
{16,102,0.043478,0,0,0,0,0,0,0,0,0.111111,0,0.2,0,0,0.1,0,0,0,0,0,0.25,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,1}:
{16,105,0.043478,0,0.055556,0,0.083333,0,0,0,0,0,0,0,0,0.076923,0,0.25,0,0,0,0.090909,0.25,0.125,0,0.2,0,0.142857,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
{17,123,0.041667,0,0,0.083333,0,0,0,0.111111,0.111111,0,0.2,0.25,0.076923,0,0,0.142857,0,0,0.090909,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
{11,118,0.030303,0,0,0,0,0,0,0.055556,0,0,0,0,0,0,0,0.166667,0,0,0,0.1,0.25,0,0,0,0,0,0,0.25,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333}:
{16,169,0.043478,0,0,0.076923,0,0,0.083333,0,0.111111,0,0,0.2,0,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1}:
{14,89,0.03125,0,0,0,0,0,0,0,0.083333,0.142857,0.111111,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}:
