epoch,loss,mse,val_loss,val_mse
0,7672.98388671875,7672.98388671875,650974.125,650974.125
1,2946.242919921875,2946.242919921875,29622.5390625,29622.5390625
2,2241.765869140625,2241.765869140625,1884.3365478515625,1884.3365478515625
3,2018.5126953125,2018.5126953125,1501.1788330078125,1501.1788330078125
4,1925.1595458984375,1925.1595458984375,993.8993530273438,993.8993530273438
5,1606.2303466796875,1606.2303466796875,783.8124389648438,783.8124389648438
6,1753.345703125,1753.345703125,885.2304077148438,885.2304077148438
7,1884.067138671875,1884.067138671875,1081.9080810546875,1081.9080810546875
8,1858.474609375,1858.474609375,1594.7884521484375,1594.7884521484375
9,1774.898681640625,1774.898681640625,912.57177734375,912.57177734375
10,1565.6436767578125,1565.6436767578125,967.1497802734375,967.1497802734375
11,1650.5870361328125,1650.5870361328125,837.6695556640625,837.6695556640625
12,1497.720458984375,1497.720458984375,1403.0194091796875,1403.0194091796875
13,1466.8677978515625,1466.8677978515625,754.86181640625,754.86181640625
14,1422.5794677734375,1422.5794677734375,1081.188232421875,1081.188232421875
15,1458.8304443359375,1458.8304443359375,758.1202392578125,758.1202392578125
16,1331.927978515625,1331.927978515625,950.4517211914062,950.4517211914062
17,1335.145263671875,1335.145263671875,868.1818237304688,868.1818237304688
18,1539.8226318359375,1539.8226318359375,989.6464233398438,989.6464233398438
19,1514.7724609375,1514.7724609375,839.296630859375,839.296630859375
