epoch,loss,mse,val_loss,val_mse
0,5642.5087890625,5642.5087890625,1547.0164794921875,1547.0164794921875
1,5377.0908203125,5377.0908203125,884.1556396484375,884.1556396484375
2,5343.93408203125,5343.93408203125,1129.891357421875,1129.891357421875
3,5343.5498046875,5343.5498046875,858.4542846679688,858.4542846679688
4,5311.232421875,5311.232421875,868.1018676757812,868.1018676757812
5,5231.357421875,5231.357421875,1139.07666015625,1139.07666015625
6,5237.63720703125,5237.63720703125,878.6231079101562,878.6231079101562
7,5216.13134765625,5216.13134765625,1033.74560546875,1033.74560546875
8,5202.79833984375,5202.79833984375,1063.783203125,1063.783203125
9,5214.03173828125,5214.03173828125,859.6654052734375,859.6654052734375
10,5172.61474609375,5172.61474609375,911.6597290039062,911.6597290039062
11,5198.2197265625,5198.2197265625,1083.6907958984375,1083.6907958984375
12,5185.4599609375,5185.4599609375,1029.2166748046875,1029.2166748046875
13,5157.0146484375,5157.0146484375,1141.772705078125,1141.772705078125
14,5137.99755859375,5137.99755859375,814.2163696289062,814.2163696289062
15,5175.35986328125,5175.35986328125,978.146728515625,978.146728515625
16,5127.17431640625,5127.17431640625,1024.9686279296875,1024.9686279296875
17,5107.52783203125,5107.52783203125,799.7662353515625,799.7662353515625
18,5143.5458984375,5143.5458984375,1129.5726318359375,1129.5726318359375
19,5160.3125,5160.3125,962.8899536132812,962.8899536132812
