epoch,loss,mse,val_loss,val_mse
0,206.5298309326172,206.5298309326172,17.469324111938477,17.469324111938477
1,204.85519409179688,204.85519409179688,14.014019012451172,14.014019012451172
2,204.42889404296875,204.42889404296875,16.217565536499023,16.217565536499023
3,204.94961547851562,204.94961547851562,21.702436447143555,21.702436447143555
4,205.36253356933594,205.36253356933594,21.09659767150879,21.09659767150879
5,203.59991455078125,203.59991455078125,18.369548797607422,18.369548797607422
6,204.1773681640625,204.1773681640625,22.197725296020508,22.197725296020508
7,204.4107208251953,204.4107208251953,18.687103271484375,18.687103271484375
8,205.09544372558594,205.09544372558594,20.9852352142334,20.9852352142334
9,203.88473510742188,203.88473510742188,22.534481048583984,22.534481048583984
10,203.49606323242188,203.49606323242188,19.834938049316406,19.834938049316406
11,202.1346893310547,202.1346893310547,23.015941619873047,23.015941619873047
12,205.4770050048828,205.4770050048828,21.780677795410156,21.780677795410156
13,202.84120178222656,202.84120178222656,18.53836441040039,18.53836441040039
14,203.14202880859375,203.14202880859375,22.662343978881836,22.662343978881836
15,203.2584686279297,203.2584686279297,24.293659210205078,24.293659210205078
16,204.70767211914062,204.70767211914062,20.097211837768555,20.097211837768555
17,203.22232055664062,203.22232055664062,20.531391143798828,20.531391143798828
18,204.1697540283203,204.1697540283203,21.233253479003906,21.233253479003906
19,203.94332885742188,203.94332885742188,21.113235473632812,21.113235473632812
