-2    0    0    0    0    0    0
-1.95    0    0    0    0    0    0
-1.9    0    0    0    0    0    0
-1.85    0    0    0    0    0    0
-1.8    0    0    0    0    0    0
-1.75    0    0    0    0    0    0
-1.7    0    0    0    0    0    0
-1.65    0    0    0    0    0    0
-1.6    0    0    0    0    0    0
-1.55    0    0    0    0    0    0
-1.5    0    0    0    0    0    0
-1.45    0    0    0    0    0    0
-1.4    0    0    0    0    0    0
-1.35    0    0    0    0    0    0
-1.3    0    0    0    0    0    0
-1.25    0    0    0    0    0    0
-1.2    0    0    0    0    0    0
-1.15    0    0    0    0    0    0
-1.1    0    0    0    0    0    0
-1.05    0    0    0    0    0    0
-1    0    0    0    0    0    0
-0.95    5.33111772039818e-06    0    0    3.48436439713702e-06    0    0
-0.9    3.76325891809717e-05    0    0    2.45962780773987e-05    0    0
-0.85    6.99340606415452e-05    0    0    4.57081917576604e-05    0    0
-0.8    0.000102235532102119    0    0    6.68201054379221e-05    0    0
-0.75    0.000134537003562692    0    0    8.79320191181837e-05    0    0
-0.7    0.000166838475023266    0    0    0.000109043932798445    0    0
-0.65    0.00228468553600708    4.16020665864325e-05    0    0.00105894551178648    2.44367170478471e-05    0
-0.6    0.0061215312996004    0.000117494392204939    0    0.00277439651711249    6.90152545921178e-05    0
-0.55    0.00995837706319372    0.000193386717823446    0    0.00448984752243849    0.000113593792136389    0
-0.5    0.0194930245672368    0.00152086086350129    0    0.00754652083484276    0.000564437903028978    0
-0.45    0.0578193007878886    0.00917271776468752    0    0.0173805402977263    0.00306818734145262    0
-0.4    0.0961455770085404    0.0168245746658738    0    0.0272145597606099    0.00557193677987627    0
-0.35    0.170810992645772    0.0745746529495699    0    0.0423680797072203    0.0177781531220222    0
-0.3    0.258464213723085    0.150230107162814    0    0.0594228179663792    0.0334520837374695    0
-0.25    0.360957193782741    0.264466914549479    0    0.078407450807511    0.0549905832999565    0
-0.2    0.463303216167015    0.382927013545416    0    0.0980821516742635    0.0776808902858709    0
-0.15    0.5582640460401    0.49370063957963    0    0.118569460746607    0.10047749345705    0
-0.1   0.636319204132481    0.583784997210361    0    0.140656253008459    0.123368211698086    0
-0.05    0.702271120421397    0.656945576575304    0    0.164393637487503    0.147413985653043    0
0    0.758457879510939    0.717763930306459    0    0.189449611116058    0.173678227504694    0
0.05    0.80618971038543    0.765283550101376    0    0.215326122707461    0.200845612683798    0
0.1    0.83708407689329    0.802618186563974    0    0.240015374668648    0.228034088887262    0
0.15    0.845527139772111    0.822934514768669    0    0.261679625003003    0.252427106937337    0
0.2    0.830324336474399    0.814380026366474    0    0.278588397609951    0.270992564165456    0
0.25    0.796812651762423    0.786672292456333    0    0.290793041129866    0.284455579859958    0
0.3    0.751552367129225    0.744488096093995    0    0.297896509052077    0.292668715868802    0
0.35    0.69948890914861    0.693137904331903    2.11298808525952e-09    0.300294600330399    0.29605180908534    2.11298808525952e-09
0.4    0.642468253422255    0.640190960309298    8.88229525788722e-09    0.298638132792755    0.295036818447814    8.88229525788722e-09
0.45    0.586854802445075    0.583808868219621    5.16315762933919e-08    0.293540624642364    0.290416124829428    5.16315762933919e-08
0.5    0.532897357943086    0.530789831425061    1.53743221328654e-07    0.285266270357315    0.282678199964415    1.53743221328654e-07
0.55    0.482574891634689    0.479393201579647    4.26174301809164e-07    0.274724730850939    0.272448087271266    4.26174301809164e-07
0.6    0.434656776270633    0.432498809229216    8.94312774409492e-05    0.262004635959556    0.260468672099632    2.72236107853132e-05
0.65    0.391496536751838    0.389356206970257    0.021207893736251    0.248709062263415    0.246804763721984    0.00710250901643663
0.7    0.350774393070178    0.3498883109587    0.0501759366675288    0.23411529472597    0.232550017763804    0.0217277856708683
0.75    0.314463588938518    0.313837065959747    0.0759840851691271    0.219236206171024    0.218069536346882    0.0379335521374257
0.8    0.28195105617055    0.280990590543789    0.101955365232115    0.204040870955391    0.203426087590876    0.0552990732834133
0.85    0.251845103644939    0.251892562097247    0.111092067765067    0.189271375866463    0.188893874252749    0.0673914255270509
0.9    0.226091779525571    0.225014969482442    0.114811132906295    0.174937437222545    0.174213889440773    0.0756272055354695
0.95    0.202620145158631    0.201910191721631    0.114504249817749    0.161520038115938    0.160757611622749    0.0806431712819892
1    0.18109923477491    0.180389369435826    0.111289104701571    0.147585499249463    0.147322700323555    0.0827892443893624
1.05    0.161551467330016    0.161422357718403    0.10649511265386    0.135035858984932    0.134813108069093    0.0827264708019891
1.1    0.144994735794122    0.144084243617346    0.100509614885387    0.123608111698186    0.122835231733625    0.0809526194637025
1.15    0.129816267803003    0.129506693518328    0.0943228669320824    0.112726111410481    0.112125794942176    0.0782512822793031
1.2    0.116407650939871    0.116054235923622    0.0874874264178737    0.102252154086014    0.102269294859996    0.0743770500620144
1.25    0.10333837697427    0.103572142634487    0.0806270411685625    0.0924695780600763    0.092569461841704    0.0700735160226649
1.3    0.0931163877856569    0.0928537569318289    0.0739994401234801    0.0842915297702965    0.0840164215459441    0.0655167129800887
1.35    0.0830943065118791    0.0828833040191098    0.0675751460936269    0.0760636904220483    0.0758463003169823    0.0606801936708891
1.4    0.0741333349715524    0.0744461127941508    0.0615430368206325    0.0685478621849621    0.0687851175654189    0.0560048888937501
1.45    0.066687697043112    0.0663058084512986    0.0558181656179733    0.0621844564893602    0.0618251040729731    0.0514318127118321
1.5    0.0594633397993703    0.0598143711150137    0.0505335460223101    0.0558917803859228    0.0561868677551736    0.0469987304304
1.55    0.0534955189293632    0.0530939548317738    0.0458312571321814    0.0506198664761465    0.0502335261289627    0.0429797969102284
