epoch,loss,mse,val_loss,val_mse
0,107.92701721191406,107.92701721191406,325557.78125,325557.78125
1,23.516677856445312,23.516677856445312,11833.703125,11833.703125
2,22.66844940185547,22.66844940185547,312.7535095214844,312.7535095214844
3,15.11831283569336,15.11831283569336,3.5474462509155273,3.5474462509155273
4,12.691761016845703,12.691761016845703,5.188436508178711,5.188436508178711
5,10.20720386505127,10.20720386505127,1.6258386373519897,1.6258386373519897
6,12.501974105834961,12.501974105834961,6.369890213012695,6.369890213012695
7,8.00498104095459,8.00498104095459,1.9531182050704956,1.9531182050704956
8,7.870738506317139,7.870738506317139,1.6167513132095337,1.6167513132095337
9,6.75096321105957,6.75096321105957,4.333071708679199,4.333071708679199
10,4.823581218719482,4.823581218719482,3.716165065765381,3.716165065765381
11,4.373029708862305,4.373029708862305,1.8591147661209106,1.8591147661209106
12,4.161813259124756,4.161813259124756,2.1164331436157227,2.1164331436157227
13,4.6857523918151855,4.6857523918151855,3.8668179512023926,3.8668179512023926
14,2.9083194732666016,2.9083194732666016,0.6560235023498535,0.6560235023498535
15,2.7660953998565674,2.7660953998565674,2.2100579738616943,2.2100579738616943
16,2.8023247718811035,2.8023247718811035,1.1878207921981812,1.1878207921981812
17,2.2575199604034424,2.2575199604034424,2.333869218826294,2.333869218826294
18,1.802919626235962,1.802919626235962,1.4546996355056763,1.4546996355056763
19,2.692023754119873,2.692023754119873,0.5101008415222168,0.5101008415222168
